;id;nome;sigla;regiao_id;codigo_ibg;txhom;Rendimentos;pibpercapita
1;1;Acre;AC;3;12;21.56;99.725.49;11.02
2;2;Alagoas;AL;4;27;59.19;390.920.09;8.49
3;3;Amazonas;AM;3;13;26.99;484.058.64;17.06
4;4;Amapá;AP;3;16;30.48;99.706.30;12.25
5;5;Bahia;BA;4;29;36.52;2.075.491.78;10.6
6;6;Ceará;CE;4;23;25.34;1.148.184.71;9.64
7;7;Distrito Federal;DF;5;53;38.48;1.219.371.61;58.91
8;8;Espírito Santo;ES;2;32;56.47;886.150.61;25.75
9;9;Goiás;GO;5;52;30.1;1.419.582.16;17.11
10;10;Maranhão;MA;4;21;21.85;617.626.20;7.34
11;11;Minas Gerais;MG;2;31;18.12;4.893.122.07;18.3
12;12;Mato Grosso do Sul;MS;5;50;30.84;592.388.94;18.58
13;13;Mato Grosso;MT;5;51;32.99;716.861.15;21.71
14;14;Pará;PA;3;15;40.28;1.035.995.24;10.74
15;15;Paraíba;PB;4;25;33.55;511.680.51;8.74
16;16;Pernambuco;PE;4;26;44.62;1.438.617.34;11.01
17;17;Piauí;PI;4;22;12.38;362.804.09;7.33
18;18;Paraná;PR;1;41;34.43;3.033.249.26;21.29
19;19;Rio de Janeiro;RJ;2;33;26.22;5.875.047.91;26.83
20;20;Rio Grande do Norte;RN;4;24;25.15;484.065.74;10.55
21;21;Rondônia;RO;3;11;35.57;319.135.85;16.51
22;22;Roraima;RR;3;14;27.28;76.070.95;14.12
23;23;Rio Grande do Sul;RS;1;43;20.41;3.604.279.56;22.96
24;24;Santa Catarina;SC;1;42;13.09;1.851.041.40;25.02
25;25;Sergipe;SE;4;28;32.83;288.082.09;11.72
26;26;São Paulo;SP;2;35;15.27;16.149.373.98;30.34
27;27;Tocantins;TO;3;17;21.83;198.838.56;12.05
