id,nome,sigla,regiao_id,IBGE,Sigla,Codigo,Estado,TESTE,DEPELEITO
1,Acre,AC,3,12,AC,12,Acre,19,24
2,Alagoas,AL,4,27,AL,27,Alagoas,20,27
3,Amazonas,AM,3,13,AM,13,Amazonas,17,24
4,Amapﬂ,AP,3,16,AP,16,Amap·,13,24
5,Bahia,BA,4,29,BA,29,Bahia,43,63
6,Cearﬂ,CE,4,23,CE,23,Cear·,35,46
7,Distrito Federal,DF,5,53,DF,53,Distrito Federal,19,24
8,Esp?rito Santo,ES,2,32,ES,32,EspÌrito Santo,23,30
9,Goiﬂs,GO,5,52,GO,52,Goi·s,29,41
10,Maranh?o,MA,4,21,MA,21,Maranh„o,30,42
11,Minas Gerais,MG,2,31,MG,31,Minas Gerais,55,77
12,Mato Grosso do Sul,MS,5,50,MS,50,Mato Grosso do Sul,19,24
13,Mato Grosso,MT,5,51,MT,51,Mato Grosso,18,24
14,Parﬂ,PA,3,15,PA,15,Par·,30,41
15,Para?ba,PB,4,25,PB,25,ParaÌba,27,36
16,Pernambuco,PE,4,26,PE,26,Pernambuco,35,49
17,Piau?,PI,4,22,PI,22,PiauÌ,23,30
18,Paranﬂ,PR,1,41,PR,41,Paran·,43,54
19,Rio de Janeiro,RJ,2,33,RJ,33,Rio de Janeiro,51,70
20,Rio Grande do Norte,RN,4,24,RN,24,Rio Grande do Norte,17,24
21,Rond?nia,RO,3,11,RO,11,RondÙnia,17,24
22,Roraima,RR,3,14,RR,14,Roraima,13,24
23,Rio Grande do Sul,RS,1,43,RS,43,Rio Grande do Sul,44,55
24,Santa Catarina,SC,1,42,SC,42,Santa Catarina,33,40
25,Sergipe,SE,4,28,SE,28,Sergipe,18,24
26,S?o Paulo,SP,2,35,SP,35,S„o Paulo,73,94
27,Tocantins,TO,3,17,TO,17,Tocantins,18,24
