;NM_MUNICIP;CD_GEOCMU;txhom
1;ANGRA DOS REIS;3300100;44.47
2;APERIBÉ;3300159;
3;ARARUAMA;3300209;40.11
4;AREAL;3300225;16.69
5;ARMAÇÃO DOS BÚZIOS;3300233;73.29
6;ARRAIAL DO CABO;3300258;70.66
7;BARRA DO PIRAÍ;3300308;15.41
8;BARRA MANSA;3300407;29.96
9;BELFORD ROXO;3300456;13.36
10;BOM JARDIM;3300506;11.3
11;CABO FRIO;3300704;76.34
12;CACHOEIRAS DE MACACU;3300803;12.22
13;CAMBUCI;3300902;
14;CANTAGALO;3301108;9.73
15;CARAPEBUS;3300936;33.51
16;CARDOSO MOREIRA;3301157;40.05
17;CARMO;3301207;5.55
18;CASIMIRO DE ABREU;3301306;42.53
19;COMENDADOR LEVY GASPARIAN;3300951;
20;CONCEIÇÃO DE MACABU;3301405;29.01
21;CORDEIRO;3301504;5.02
22;DUAS BARRAS;3301603;36.73
23;ENGENHEIRO PAULO DE FRONTIN;3301801;7.57
24;GUAPIMIRIM;3301850;12.06
25;IGUABA GRANDE;3301876;26.15
26;ITABORAÍ;3301900;41.05
27;ITALVA;3302056;
28;ITAOCARA;3302106;8.91
29;ITAPERUNA;3302205;34.19
30;ITATIAIA;3302254;16.86
31;JAPERI;3302270;7.87
32;LAJE DO MURIAÉ;3302304;
33;MACAÉ;3302403;41.15
34;MACUCO;3302452;17.78
35;MAGÉ;3302502;31.92
36;MANGARATIBA;3302601;43.04
37;MARICÁ;3302700;41.3
38;MENDES;3302809;11.19
39;MIGUEL PEREIRA;3302908;11.6
40;MIRACEMA;3303005;
41;NATIVIDADE;3303104;
42;NITERÓI;3303302;20.65
43;NOVA FRIBURGO;3303401;26.31
44;PARACAMBI;3303609;7.2
45;PARAÍBA DO SUL;3303708;11.11
46;PARATY;3303807;81.18
47;PATY DO ALFERES;3303856;3.82
48;PETRÓPOLIS;3303906;9.84
49;PINHEIRAL;3303955;
50;PIRAÍ;3304003;3.83
51;PORTO REAL;3304110;6.15
52;QUATIS;3304128;15.22
53;QUEIMADOS;3304144;13.63
54;QUISSAMÃ;3304151;5.03
55;RESENDE;3304201;27.68
56;RIO BONITO;3304300;3.63
57;RIO CLARO;3304409;10.89
58;RIO DAS FLORES;3304508;
59;RIO DAS OSTRAS;3304524;46.57
60;SANTA MARIA MADALENA;3304607;
61;SANTO ANTÔNIO DE PÁDUA;3304706;7.07
62;SÃO FIDÉLIS;3304805;20.38
63;SÃO GONÇALO;3304904;33.99
64;SÃO JOÃO DA BARRA;3305000;55.54
65;SÃO JOSÉ DE UBÁ;3305133;13.7
66;SÃO JOSÉ DO VALE DO RIO PRETO;3305158;9.72
67;SÃO PEDRO DA ALDEIA;3305208;35.35
68;SÃO SEBASTIÃO DO ALTO;3305307;22.09
69;SAPUCAIA;3305406;
70;SAQUAREMA;3305505;25.95
71;SILVA JARDIM;3305604;45
72;SUMIDOURO;3305703;6.53
73;TANGUÁ;3305752;19.65
74;TERESÓPOLIS;3305802;14.19
75;TRAJANO DE MORAES;3305901;20.18
76;TRÊS RIOS;3306008;17.09
77;VALENÇA;3306107;6.59
78;VASSOURAS;3306206;29.19
79;VOLTA REDONDA;3306305;38.64
80;SEROPÉDICA;3305554;12.69
81;SÃO JOÃO DE MERITI;3305109;23.63
82;NILÓPOLIS;3303203;14.43
83;DUQUE DE CAXIAS;3301702;67.03
84;ITAGUAÍ;3302007;29.34
85;MESQUITA;3302858;12.1
86;NOVA IGUAÇU;3303500;31.33
87;RIO DE JANEIRO;3304557;17.57
88;BOM JESUS DO ITABAPOANA;3300605;8.5
89;CAMPOS DOS GOYTACAZES;3301009;55.76
90;PORCIÚNCULA;3304102;16.27
91;SÃO FRANCISCO DE ITABAPOANA;3304755;50.18
92;VARRE-SAI;3306156;11.3
