Cod;UF;Unidade da Federação;Vaginal;Cesário;Ignorado;Total;p_v;p_c;p_i
11;RO; Rondônia;9251;18261;43;27555;0,335728543;0,662710942;0,001560515
12;AC;Acre;10524;6496;51;17071;0,616484096;0,380528381;0,002987523
13;AM;Amazonas;49794;30693;262;80749;0,616651599;0,380103778;0,003244622
14;RR;Roraima;7231;3845;33;11109;0,650913674;0,346115762;0,002970564
15;PA;Pará;70532;72257;279;143068;0,492996337;0,505053541;0,001950122
16;AP;Amapá;10402;5793;30;16225;0,641109399;0,357041602;0,001848998
17;TO;Tocantins;11904;12978;63;24945;0,477209862;0,520264582;0,002525556
21;MA;Maranhão;66743;49667;429;116839;0,571239055;0,425089225;0,003671719
22;PI;Piauí;22334;25471;104;47909;0,466175458;0,53165376;0,002170782
23;CE;Ceará;53956;74383;248;128587;0,419606959;0,578464386;0,001928655
24;RN;Rio Grande do Norte;19261;28735;99;48095;0,40047822;0,597463354;0,002058426
25;PB;Paraíba;24079;33348;93;57520;0,418619611;0,579763561;0,001616829
26;PE;Pernambuco;65374;77868;209;143451;0,455723557;0,542819499;0,001456943
27;AL;Alagoas;23326;28320;123;51769;0,450578532;0,547045529;0,002375939
28;SE;Sergipe;18917;15432;17;34366;0,550456847;0,449048478;0,000494675
29;BA;Bahia;112831;90536;546;203913;0,553329116;0,443993272;0,002677613
31;MG;Minas Gerais;111143;154956;565;266664;0,416790418;0,581090811;0,002118771
32;ES;Espírito Santo;18748;37687;57;56492;0,331869999;0,667121008;0,001008992
33;RJ;Rio de Janeiro;88549;144723;277;233549;0,379145276;0,619668678;0,001186047
35;SP;São Paulo;241049;384192;412;625653;0,385275864;0,614065624;0,000658512
41;PR;Paraná;58931;100888;72;159891;0,368569838;0,630979855;0,000450307
42;SC;Santa Catarina;36604;56012;56;92672;0,394984461;0,604411257;0,000604282
43;RS;Rio Grande do Sul;53058;90222;38;143318;0,370211697;0,629523158;0,000265145
50;MS;Mato Grosso do Sul;16735;27304;3;44042;0,379978203;0,619953681;6,81168E-05
51;MT;Mato Grosso;21792;34651;43;56486;0,38579471;0,613444039;0,000761251
52;GO;Goiás;32243;67243;249;99735;0,32328671;0,674216674;0,002496616
53;DF;Distrito Federal;19979;24574;101;44654;0,447417924;0,55032024;0,002261835
